,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195
0,3,5,6,10,12,15,22,24,27,24,28,34,37,59,45,52,56,63,72,82,86,95,199,211,253,258,340,275,285,295,251,353,372,250,232,235
1,2,3,5,7,9,12,14,18,31,45,48,62,59,86,87,116,121,93,85,147,179,180,122,198,186,229,150,265,227,304,318,245,206,391,529,462
2,3,6,9,11,13,19,28,29,32,44,45,68,54,64,58,76,58,84,73,118,165,154,212,206,215,224,207,234,271,241,198,222,229,243,305,283
3,3,4,6,8,10,11,14,19,21,23,30,34,37,57,62,72,80,66,102,90,96,148,119,110,121,154,153,152,182,198,210,197,279,320,367,318
4,3,4,6,8,9,11,13,16,20,23,26,32,37,41,46,53,55,61,65,78,84,87,100,107,125,122,131,143,154,154,174,326,196,200,213,363
5,3,5,9,10,13,20,20,23,24,23,39,38,36,42,51,53,59,65,81,96,89,148,101,104,119,188,208,188,197,164,216,210,190,205,223,220
6,2,3,5,6,10,10,13,17,20,23,27,31,36,59,55,50,56,61,70,73,89,92,110,111,113,121,149,222,232,197,189,185,199,227,219,338
7,3,5,7,9,13,16,20,26,30,36,40,45,52,70,73,74,77,75,70,79,83,92,109,124,112,121,144,156,153,168,185,238,198,216,313,302
8,3,4,6,9,12,15,17,20,22,25,30,33,37,53,72,75,83,97,71,79,89,110,101,134,151,140,141,139,146,194,170,179,223,200,234,225
9,2,3,5,6,9,11,14,17,19,23,27,31,34,40,50,55,58,61,69,79,84,103,102,103,112,120,150,137,151,190,170,179,284,226,215,229
10,2,3,5,6,9,11,14,17,20,23,27,31,35,41,45,52,58,65,67,73,85,86,103,106,113,124,162,172,160,158,190,186,188,204,220,269
11,3,4,6,8,10,11,14,17,20,23,26,41,36,39,46,51,74,90,73,77,82,106,112,115,115,119,177,157,145,160,217,179,185,229,218,274
12,3,5,6,8,10,12,13,17,20,25,27,31,36,55,57,51,61,61,88,74,91,89,124,108,116,122,126,179,169,167,183,181,262,245,211,257
13,3,4,6,8,10,14,14,17,19,24,28,30,35,41,47,54,70,64,73,75,82,88,95,133,111,117,127,160,146,201,218,177,194,231,291,236
14,2,3,5,6,10,11,14,17,20,23,27,31,35,40,46,49,55,91,74,75,81,116,101,171,213,251,233,189,184,253,242,233,352,361,346,285
15,3,4,6,8,10,12,14,16,21,30,27,32,37,42,46,53,57,77,84,99,97,92,173,209,212,197,236,235,293,289,302,356,298,239,365,414
16,4,6,8,13,15,21,24,28,35,50,59,61,69,79,81,70,57,64,74,81,109,156,163,177,245,188,136,164,231,234,263,248,288,252,334,371
17,3,5,7,10,11,15,18,22,27,155,64,50,54,62,58,55,79,82,91,106,111,137,109,119,135,134,183,148,154,195,206,183,198,219,285,260
18,2,4,6,9,11,15,14,16,20,25,27,38,36,58,58,53,57,64,67,78,84,105,126,121,145,173,128,156,200,197,197,243,246,205,262,221
19,2,3,6,7,9,11,14,18,20,23,28,34,36,41,49,51,75,61,70,89,92,92,116,150,121,174,143,245,255,201,195,202,223,221,313,275
20,3,4,7,8,11,15,18,21,25,34,38,34,35,55,61,52,88,91,100,121,126,130,162,141,176,171,183,201,224,206,230,210,270,245,314,283
21,3,4,6,8,11,11,14,17,20,24,29,33,36,42,49,57,62,63,73,98,86,95,110,150,165,157,194,172,169,184,257,246,304,246,221,339
22,3,5,7,8,11,11,14,17,20,24,28,40,51,62,64,54,57,67,77,81,124,135,153,150,158,165,144,206,173,193,183,228,235,319,273,301
23,3,4,6,9,9,11,14,17,22,25,28,44,48,42,47,59,62,84,70,78,89,134,125,206,176,125,189,197,210,180,263,276,197,308,346,234
24,2,3,5,7,10,12,13,17,22,25,27,33,37,58,59,52,58,67,72,82,89,92,139,111,117,121,133,148,155,166,186,190,239,207,209,226
25,2,3,5,7,8,11,14,17,21,24,27,31,36,42,51,49,69,62,75,77,88,94,96,129,119,131,143,171,195,216,239,255,242,285,337,322
26,3,5,7,10,12,15,18,17,21,25,27,34,38,42,47,79,84,89,69,83,85,92,96,115,145,129,157,163,221,207,297,184,191,286,309,266
27,2,4,6,7,9,15,14,17,20,26,28,31,43,45,49,52,56,72,80,98,127,122,100,111,177,192,165,172,159,251,178,222,262,305,311,290
28,3,5,6,8,10,11,14,17,20,31,27,32,39,66,63,68,80,89,101,109,118,98,101,103,118,130,193,199,236,203,210,248,214,265,328,310
29,3,4,7,9,13,14,17,21,25,28,28,49,47,52,47,60,78,81,70,77,92,120,104,108,113,128,195,202,190,212,252,242,269,265,316,347
30,3,4,8,9,12,15,18,18,20,24,28,31,36,57,58,49,61,90,103,109,112,104,145,149,153,145,175,189,190,220,247,242,236,223,226,396
31,3,5,7,11,16,17,26,29,29,35,38,44,44,44,50,54,84,85,98,128,119,112,109,144,230,255,258,174,254,308,291,290,374,289,313,340
32,3,4,7,9,14,22,27,41,47,72,56,46,48,59,67,90,80,85,110,117,129,121,102,108,159,170,136,187,281,234,214,216,326,225,225,368
33,4,5,7,10,12,17,18,25,25,23,27,32,35,44,47,50,57,64,70,79,101,122,142,135,120,123,169,226,229,170,235,258,303,291,222,233
34,2,3,5,7,9,11,15,17,21,24,28,32,36,42,49,65,78,84,110,112,130,142,160,180,130,120,127,134,150,151,171,181,277,246,257,269
35,3,4,7,9,12,16,19,21,30,36,44,52,55,81,81,84,81,62,64,72,81,122,107,170,174,193,202,212,232,253,240,183,203,211,226,285
36,3,5,6,8,10,11,14,17,20,24,28,34,36,58,66,65,61,66,74,76,94,103,138,116,132,137,137,186,172,182,187,248,206,237,216,251
37,3,4,6,8,8,12,14,17,20,23,27,33,35,50,47,71,60,62,71,76,81,89,97,133,120,124,141,141,149,157,171,189,192,210,283,224
38,2,3,5,6,8,11,14,20,21,24,28,32,35,39,45,50,56,76,71,85,82,87,94,104,140,122,135,139,154,158,163,188,193,214,207,222
39,2,3,5,7,8,11,13,17,22,23,29,31,35,41,46,52,60,66,74,84,85,91,101,108,115,128,143,142,161,159,172,194,248,209,231,221
40,2,3,5,7,9,11,13,17,19,23,32,31,35,43,44,53,62,64,71,79,102,90,100,113,113,130,130,139,156,181,169,183,189,214,257,233
41,2,6,5,7,9,11,13,16,20,23,26,44,44,43,47,53,60,63,73,81,87,110,98,108,128,126,169,140,158,178,193,174,216,205,254,234
42,2,3,5,7,8,11,14,18,21,24,28,30,35,57,57,52,57,59,72,76,82,98,119,104,112,120,141,135,155,162,170,176,196,200,227,231
43,2,3,5,6,8,12,14,18,20,24,29,32,37,41,43,52,70,63,79,77,86,90,111,105,111,119,127,138,144,164,254,179,203,211,310,228
44,2,3,5,6,8,11,14,18,21,23,28,32,35,40,49,54,56,78,69,79,88,90,99,101,108,122,144,140,154,175,188,177,236,195,227,222
45,2,3,5,6,8,11,14,16,19,23,28,31,41,40,46,54,60,62,67,75,82,88,106,102,114,119,136,145,159,180,168,179,263,203,215,250
46,2,3,5,7,9,11,14,17,20,24,28,31,38,41,49,51,60,64,67,75,81,90,103,116,114,126,127,169,156,167,207,178,186,209,210,235
47,2,4,6,7,8,11,15,19,19,22,28,41,35,41,43,51,57,73,68,81,81,104,102,159,112,120,186,139,148,155,228,176,184,230,214,263
48,3,4,6,6,8,14,14,19,22,25,27,31,40,59,56,52,56,62,73,77,83,91,113,115,116,123,133,177,146,152,179,174,193,232,222,234
49,2,3,5,6,11,11,14,18,20,24,28,31,36,41,47,54,73,59,70,77,86,85,98,119,120,116,129,141,155,157,167,215,194,203,290,220
